event_id,market,ticker,announce_date,effective_date,sector,batch_id,gap_length_days,pre_announce_runup,announce_jump,gap_drift,effective_jump,post_effective_reversal
US-s-p500-dal-20130910-20130910-add-01,US,DAL,2013-09-10,2013-09-10,Industrials,sp500-20130910,0,0.0793514443467877,0.1043280233638175,-0.0077705935975749,0.1043280233638175,0.0995978708472021
US-s-p500-dash-20250307-20250324-add-01,US,DASH,2025-03-07,2025-03-24,Consumer Discretionary,sp500-20250324,17,-0.02257840430161239,-0.0499725634230273,0.03408238193870521,0.015557657394471399,-0.023046112987665103
US-s-p500-dd-20190528-20190603-add-02,US,DD,2019-05-28,2019-06-03,Materials,sp500-20190603,6,-0.15120411435867773,0.018884331246917102,0.12615353497205062,0.1256786764949615,-0.031821729826088295
US-s-p500-ddog-20250702-20250709-add-01,US,DDOG,2025-07-02,2025-07-09,Information Technology,sp500-20250709,7,0.0761789380011568,0.1425722528508854,-0.11662293518380219,-0.10924962277917571,-0.00918044498580689
US-s-p500-deck-20240301-20240318-add-01,US,DECK,2024-03-01,2024-03-18,Consumer Discretionary,sp500-20240318,17,0.13325168584937191,0.0372623130506714,-0.008423984210095896,-0.0314357340225534,-0.08099111039059831
US-s-p500-dell-20240906-20240923-add-02,US,DELL,2024-09-06,2024-09-23,Information Technology,sp500-20240923,17,0.14862762164158982,-0.0187386364468677,0.0648069445499675,-0.007287793586480199,0.05409415793322812
US-s-p500-dg-20121126-20121203-add-01,US,DG,2012-11-26,2012-12-03,Consumer Staples,sp500-20121203,7,0.05121485959171138,0.025636955433705103,-0.0375812296863986,-0.0325171751621282,-0.1440137962916015
US-s-p500-disck-20140730-20140806-add-01,US,DISCK,2014-07-30,2014-08-06,,sp500-20140806,7,0.0,0.0,0.0,0.0,0.0
US-s-p500-dish-20170306-20170313-add-01,US,DISH,2017-03-06,2017-03-13,,sp500-20170313,7,0.0,0.0,0.0,0.0,0.0
US-s-p500-dlph-20121218-20121221-add-01,US,DLPH,2012-12-18,2012-12-21,,sp500-20121221,3,0.0,0.0,0.0,0.0,0.0
US-s-p500-dlr-20160513-20160518-add-01,US,DLR,2016-05-13,2016-05-18,Real Estate,sp500-20160518,5,0.0871390376833721,0.044355025130941,-0.0349987640011235,-0.0349987640011235,0.08335044476113071
US-s-p500-dltr-20111216-20111216-add-01,US,DLTR,2011-12-16,2011-12-16,Consumer Staples,sp500-20111216,0,0.09244762377383811,0.007882993076436098,-0.0240464830514788,0.007882993076436098,-0.0314005104902087
US-s-p500-dow-20190326-20190402-add-02,US,DOW,2019-03-26,2019-04-02,Materials,sp500-20190402,7,-0.003946245807038498,0.029102439205369597,0.1050722201166075,0.0850869822050432,-0.025593574570868312
US-s-p500-dpz-20200506-20200512-add-01,US,DPZ,2020-05-06,2020-05-12,Consumer Discretionary,sp500-20200512,6,0.019688077262448013,0.009335804442033,0.06871179547528661,0.08029965003479919,-0.1009489297759508
US-s-p500-dre-20170719-20170726-add-01,US,DRE,2017-07-19,2017-07-26,,sp500-20170726,7,0.0,0.0,0.0,0.0,0.0
US-s-p500-dwdp-20170824-20170901-add-01,US,DWDP,2017-08-24,2017-09-01,,sp500-20170901,8,0.0,0.0,0.0,0.0,0.0
US-s-p500-dxc-20170328-20170404-add-01,US,DXC,2017-03-28,2017-04-04,,sp500-20170404,7,0.00829288439179751,0.0656864249063385,-0.0077921977099568995,0.044554766535277304,0.060420389246461405
US-s-p500-dxcm-20200506-20200512-add-01,US,DXCM,2020-05-06,2020-05-12,Health Care,sp500-20200512,6,0.2442660645844431,0.12921369373691072,0.029064873213966398,0.043117105566843894,-0.170500641549133
US-s-p500-eme-20250905-20250922-add-01,US,EME,2025-09-05,2025-09-22,Industrials,sp500-20250922,17,0.005981810502574397,-0.0158907252387894,0.007036507669021404,0.021837783590459802,0.07347531201948919
US-s-p500-endp-20150121-20150127-add-01,US,ENDP,2015-01-21,2015-01-27,,sp500-20150127,6,0.0,0.0,0.0,0.0,0.0
