market,event_phase,inclusion,window,window_slug,sample_filter,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value,se_car_clustered,p_value_clustered
CN,effective,1,"[0,+120]",p0_p120,winsorized_1pct,137,-0.01552057343065689,0.2258398001669947,0.019294796268989493,-0.05333837411787629,0.022297227256562517,-0.8043916719453255,0.4225746991358597,0.020006165150331014,0.43787326774209645
US,announce,0,"[0,+5]",p0_p5,winsorized_1pct,115,0.0019156287277804166,0.05085089067920356,0.0047418700061659875,-0.0073784364843049195,0.011209693939865753,0.4039817045362843,0.6869830123664702,0.005053744605028022,0.7046497303777888
US,announce,0,"[0,+20]",p0_p20,winsorized_1pct,115,0.0057797769068091585,0.12235600785342166,0.01140975656404053,-0.016583345958710277,0.028142899772328596,0.5065644367054201,0.6134388082923697,0.011914853527094808,0.6276124689798618
US,announce,0,"[0,+60]",p0_p60,winsorized_1pct,115,0.01100540762821855,0.22449874596199043,0.02093461600534768,-0.030026439742262906,0.0520372549987,0.525703821145191,0.6001151152980656,0.02522679773818946,0.6626491108281533
US,announce,0,"[0,+120]",p0_p120,winsorized_1pct,116,0.05534468302145805,0.32828971536285956,0.030480934857177153,-0.00439794929860917,0.11508731534152528,1.8157147502458046,0.07201963126407802,0.03468870936617701,0.11060789561653286
US,announce,1,"[0,+5]",p0_p5,winsorized_1pct,257,0.008458102281699225,0.06848623859009827,0.004272054188465118,8.487607230759503e-05,0.016831328491090855,1.9798677424403386,0.04878930687308659,0.004404801087037498,0.054832548919189594
US,announce,1,"[0,+20]",p0_p20,winsorized_1pct,259,0.001873992115908509,0.09415287697711909,0.005850375113561226,-0.009592743106671495,0.013340727338488512,0.32031999308293535,0.7489850403206387,0.005994428952895826,0.7545676402147744
US,announce,1,"[0,+60]",p0_p60,winsorized_1pct,259,0.003404768241033345,0.1551663381410395,0.00964156712219608,-0.015492703318470972,0.022302239800537662,0.35313431912900833,0.7242760992632814,0.009599996192459381,0.7228416990040045
US,announce,1,"[0,+120]",p0_p120,winsorized_1pct,259,0.017860267683791804,0.18664591024892646,0.011597612557645642,-0.004871052929193653,0.04059158829677726,1.5399952011690154,0.12478707993391147,0.011493781921695081,0.12020661215697132
US,effective,0,"[0,+5]",p0_p5,winsorized_1pct,107,0.005140336313916442,0.06900138444104063,0.006670615613382169,-0.00793407028831261,0.018214742916145492,0.770593991895474,0.442661785705944,0.006923000082647133,0.45778368608715847
US,effective,0,"[0,+20]",p0_p20,winsorized_1pct,107,0.009770120343571949,0.13514336734123233,0.013064802446127134,-0.015836892450837234,0.03537713313798113,0.7478199830314429,0.45622461403732384,0.014155524155710402,0.4900694196291423
US,effective,0,"[0,+60]",p0_p60,winsorized_1pct,107,0.01659284141105374,0.260906406074187,0.025222774297768175,-0.032843796212571885,0.06602947903467936,0.65785155967248,0.5120596410680291,0.028998131448030078,0.567183903968618
US,effective,0,"[0,+120]",p0_p120,winsorized_1pct,108,0.056865986236473626,0.36871879154139375,0.0354799822586162,-0.012674778990414123,0.1264067514633614,1.602762533024207,0.11193512756400704,0.04150394208289768,0.17064489523830417
US,effective,1,"[0,+5]",p0_p5,winsorized_1pct,259,-0.0067772510063301835,0.04910787339832827,0.0030514147802335793,-0.012758023975588,-0.0007964780370723684,-2.2210192630093375,0.027218221345155426,0.0032766040311322238,0.03860462668248573
US,effective,1,"[0,+20]",p0_p20,winsorized_1pct,259,-0.009543557570395326,0.08561410267577664,0.005319801494605004,-0.019970368499821135,0.0008832533590304829,-1.7939687373812307,0.07398900409563386,0.005393665301393603,0.07682695437197813
US,effective,1,"[0,+60]",p0_p60,winsorized_1pct,259,-0.005350862711883329,0.1505598081981877,0.009355331278929345,-0.023687312018584844,0.012985586594818188,-0.5719586567644988,0.5678479777792989,0.008860860801994627,0.5459259710794375
US,effective,1,"[0,+120]",p0_p120,winsorized_1pct,259,0.004302292429957086,0.19536042995727393,0.012139106464844514,-0.01949035624113816,0.02809494110105233,0.3544159071688472,0.7233167174747914,0.011947059786634302,0.7187625758410443
CN,announce,0,"[-5,+5]",m5_p5,nonoverlap_120d,137,-0.021133335766423282,0.06778908672908124,0.005791612535661621,-0.032484896336320054,-0.009781775196526506,-3.648955387864022,0.000374265929916991,0.00832231419958901,0.01110560939116439
CN,announce,0,"[-3,+3]",m3_p3,nonoverlap_120d,137,-0.017624416058394078,0.04194980075666808,0.0035840133516151745,-0.02464908222755982,-0.010599749889228335,-4.91750848262087,2.486952035874784e-06,0.0032907041942381336,8.516973506418639e-08
CN,announce,0,"[-1,+1]",m1_p1,nonoverlap_120d,137,-0.010911233576642275,0.02844115693339046,0.002429892022036629,-0.01567382193983407,-0.0061486452134504824,-4.490419112326217,1.5028435857434286e-05,0.0032977794906572924,0.000937433509445635
CN,announce,1,"[-5,+5]",m5_p5,nonoverlap_120d,137,0.033366810218978096,0.07105935416913313,0.006071010338680633,0.021467629955164054,0.04526599048279214,5.496088518641768,1.853355190383409e-07,0.009802717524075216,0.000664474436823096
