event_id,status,selected_controls,sector_relaxed,sector_filter_mode
CN-csi300-300251-20251128-20251212-add-01,skipped_missing_target_snapshot,0,,
CN-csi300-300308-20231124-20231208-add-01,matched,3,True,penalized
CN-csi300-300316-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-300394-20241129-20241213-add-01,skipped_missing_target_snapshot,0,,
CN-csi300-300418-20240531-20240614-add-01,matched,3,True,penalized
CN-csi300-300442-20240531-20240614-add-01,matched,3,True,penalized
CN-csi300-300450-20250530-20250613-del-01,matched,3,True,penalized
CN-csi300-300454-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-300454-20241129-20241213-del-02,matched,3,True,penalized
CN-csi300-300476-20251128-20251212-add-01,skipped_missing_target_snapshot,0,,
CN-csi300-300496-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-300496-20241129-20241213-del-02,matched,3,True,penalized
CN-csi300-300502-20241129-20241213-add-01,skipped_missing_target_snapshot,0,,
CN-csi300-300558-20220527-20220610-del-01,matched,3,True,penalized
CN-csi300-300601-20200601-20200615-add-01,matched,3,True,penalized
CN-csi300-300601-20231124-20231208-del-02,matched,3,True,penalized
CN-csi300-300628-20200601-20200615-add-01,matched,3,True,penalized
CN-csi300-300661-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-300676-20220527-20220610-del-01,matched,3,True,penalized
CN-csi300-300677-20220527-20220610-del-01,matched,3,True,penalized
CN-csi300-300750-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-300751-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-300751-20241129-20241213-del-02,matched,3,True,penalized
CN-csi300-300759-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-300760-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-300763-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-300763-20240531-20240614-del-02,matched,3,True,penalized
CN-csi300-300769-20231124-20231208-del-01,matched,3,True,penalized
CN-csi300-300782-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-300803-20251128-20251212-add-01,skipped_missing_target_snapshot,0,,
CN-csi300-300832-20240531-20240614-add-01,matched,3,True,penalized
CN-csi300-300866-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-300866-20251128-20251212-add-02,matched,3,True,penalized
CN-csi300-300888-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-300888-20220527-20220610-del-02,matched,3,True,penalized
CN-csi300-300896-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-300919-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-300919-20241129-20241213-del-02,matched,3,True,penalized
CN-csi300-300957-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-300957-20241129-20241213-del-02,matched,3,True,penalized
CN-csi300-300979-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-300999-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-301236-20250530-20250613-add-01,matched,3,True,penalized
CN-csi300-301269-20231124-20231208-add-01,matched,3,True,penalized
